indicators_harmonized,change in indic name,ga,sua,va,ias,geo,ipcc,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,usage,ipbes,policy,indic,indic_ext,var_ext,ILK_ext,Categories,Categories_2,Subcategories,Subcategories_2
red list of ecosystems,,,,,,1,,1,,,,,,,2,,1,1,1,,,ecosystems,,State of ecosystems,
extent of natural ecosystems,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,State of ecosystems,
red list index,,1,1,,1,1,,1,1,,,,,,6,1,1,1,1,,,biodiversity,,State of biodiversity,
proportion of populations within species with a genetically effective population size > 500,,,,,,,,1,,,,,,,1,,1,1,,,,biodiversity,,State of biodiversity,
services provided by ecosystems,,,,,,,,1,,,,,,,1,,1,1,,,,Ecosystem services,,Nature contribution,
indicator on monetary benefits received,,,,,,,,1,,,,,,,1,,1,1,,,,Human assets,,Income,
indicator on non-monetary benefits,,,,,,,,1,,,,,,,1,,1,1,,,,Human assets,,Income,
"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems",,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,National/international cooperation,
domestic public funding on conservation and sustainable use of biodiversity and ecosystems,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based funding,
private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based funding,
percent of land and seas covered by biodiversity-inclusive spatial plans,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,Area conservation,
area under restoration,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,Restoration efforts,
coverage of protected areas and oecms,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,Area conservation,
proportion of fish stocks within biologically sustainable levels,,1,1,,,1,,1,1,,,,,,5,1,1,1,1,,,biodiversity,,State of biodiversity,
rate of invasive alien species establishment,,,,,1,,,1,,,,,,,2,1,1,1,1,,,Direct drivers,,Invasive alien species,
index of coastal eutrophication potential (icep),,,1,,,1,,1,1,,,,,,4,1,1,1,1,,,ecosystems,Direct drivers,State of ecosystems (integrity),Pollution
pesticide environment concentration,,,,,,,,1,,,,,,,1,,1,1,,,,Direct drivers,,Pollution,
benefits from the sustainable use of wild species,,,,,,,,1,,,,,,,1,,1,1,,,,Ecosystem services,,Specific mention of sustainable use of species/ecosystems,
percentage of the population in traditional employment,,,,,,,,1,,,,,,,1,,1,1,,,,biodiversity,,Species conservation,Change in biodiversity
proportion of agricultural area under productive and sustainable agriculture,,1,1,,,1,,1,1,,,,,,5,1,1,1,1,,,Ecosystem services,,Specific mention of sustainable use of species/ecosystems,
progress towards sustainable forest management,,,1,,,,,1,1,,,,,,3,1,1,1,,,,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems
average share of the built-up area of cities that is green/blue space for public use for all,,,,,,,,1,,,,,,,1,,1,1,,,,Human well-being,,Healthy living conditions,
"number of companies reporting on disclosures of risks, dependencies and impacts on biodiversity",,,,,,,,1,,,,,,,1,,1,1,,,,Knowledge systems,,Information on biodiversity,
positive incentives in place to promote biodiversity conservation and sustainable use,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems
"value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated",,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based funding,
indicator on biodiversity information for monitoring the global biodiversity framework,,,,,,,,1,,,,,,,1,,1,1,,,,Knowledge systems,,Information on biodiversity,
ecosystem intactness index,,,,,,,,1,,,,,,,1,,1,1,1,,,ecosystems,,State of ecosystems (integrity),
ecosystem integrity index,,,,,,,,1,,,,,,,1,,1,1,1,,,ecosystems,,State of ecosystems (integrity),
species habitat index,,1,,,,,,1,,,,,,,2,1,1,1,1,,,biodiversity,,State of biodiversity,
biodiversity habitat index,,1,,,,,,1,,,,,,,2,1,1,1,1,,,biodiversity,,State of biodiversity,
protected connected (protconn) index,,,,,,,,1,,,,,,,1,,1,1,1,,,ecosystems,,Area conservation,State of ecosystems (coverage)
protected area connectedness (parc-connectedness) index,,1,,,,,,1,,,,,,,2,1,1,1,1,,,ecosystems,,State of ecosystems (configuration),
evolutionarily distinct and globally endangered (edge),,,,,,,,1,,,,,,,1,,1,1,,,,biodiversity,,Genetic diversity,Species conservation
living planet index,,1,1,,,1,,1,,,,,,,4,1,1,1,1,,,ecosystems,,State of biodiversity,
change in the extent of water-related ecosystems over time,,,1,,,,,1,1,,,,,,3,1,1,1,,,,ecosystems,,State of ecosystems,Change in ecosystems
red list index (for utilized species),,1,,,,1,,1,,,,,,,3,1,1,1,1,,,biodiversity,Ecosystem services,State of biodiversity,Nature contribution
living planet index (for used species),,,,,,,,1,,,,,,,1,,1,1,1,,,ecosystems,Ecosystem services,State of biodiversity,Nature contribution
priority retention of intact / wilderness areas,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,State of ecosystems (integrity),
maintenance and restoration of connectivity of natural ecosystems,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,Restoration efforts,
protected area coverage of key biodiversity areas,,1,,,,,,1,,,,,,,2,1,1,1,1,,,ecosystems,,Area conservation,
protected area management effectiveness (pame),,1,,,,,,1,,,,,,,2,1,1,1,1,,,ecosystems,Governance,Area conservation,Nature-based legislation
connectivity indicator,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,State of ecosystems (configuration),
number of protected areas that have completed a site-level assessment of governance and equity (sage),,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,Area conservation,
species protection index,,1,,,,,,1,,,,,,,2,1,1,1,1,,,biodiversity,,Species conservation,
number of plant and animal genetic resources secured in medium or long-term conservation facilities,,1,,,,,,1,,,,,,,2,1,1,1,,,,biodiversity,,Genetic resources,
trends in effective and sustainable management of human-wildlife conflict and coexistence,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
green status of species index,,,,,,,,1,,,,,,,1,,1,1,1,,,biodiversity,,State of biodiversity,
